station,title,放送時間,starts_at,ends_at,wday,cast,email,hp,memo,image,on_air_wday_id,timeframe
ニッポン放送,上柳昌彦 あさぼらけ,5時00分～6時00分,5:00:00,6:00:00,4,上柳昌彦,ue@1242.com,https://www.1242.com/asaborake/,"あさぼらけ…朝、ほのぼのと明るくなるころ。
この番組では、そんなあさぼらけの時間に、上柳昌彦アナウンサーがアクティブシニアに向けた新鮮な情報をたっぷりとお届けしていきます。
メールアドレス：ue@1242.com",36,13,2
ニッポン放送,徳光和夫　とくモリ！歌謡サタデー,5時00分～7時40分,5:00:00,7:40:00,6,徳光和夫、石川みゆき,toku@1242.com,https://www.1242.com/toku/,"徳光和夫の得意分野である「音楽」「スポーツ＆ニュース」「人情噺」の3つを柱に、「笑いあり！」「涙あり！」・・・土曜日の朝のオトナの遊び心をくすぐる実感ラジオ、それが「徳光和夫 とくモリ！歌謡サタデー」です。
思わず口ずさんでしまう曲から人生を変えた一曲まで、あなたからのリクエストもたっぷりと紹介します。
土曜日朝の新しい習慣に、是非！『とくモリ！』を追加して下さい。
",58,6,2
ニッポン放送,ひろたみゆ紀のサンデー早起き有楽町 Part1,5時00分～5時06分,5:00:00,5:06:00,0,ひろたみゆ紀,sunday@1242.com,https://www.1242.com/radio/sunday/,"日曜日の朝５時から７時まで、 ひろたみゆ紀 がお送りする２時間の生放送。
あなたは日曜の早朝をどう過ごしていらっしゃいますか？
お仕事の方、散歩やジョギングを楽しんでいる方、遊びに出かける方、はたまたおうちで溜まった家事をしたり、お布団の中でまどろんでいる方も…
それぞれの朝、何かをしながら、ラジオに耳を傾けて頂ければうれしいです。
あなたの日曜日の朝が、少しでも、温かく、優しく、爽やかでありますように…
新しい１週間の始まり！どうぞお付き合いください。",80,7,2
ニッポン放送,ひろたみゆ紀のサンデー早起き有楽町 Part2,5時16分～5時30分,5:16:00,5:30,0,ひろたみゆ紀,sunday@1242.com,https://www.1242.com/radio/sunday/,"日曜日の朝５時から７時まで、 ひろたみゆ紀 がお送りする２時間の生放送。
あなたは日曜の早朝をどう過ごしていらっしゃいますか？
お仕事の方、散歩やジョギングを楽しんでいる方、遊びに出かける方、はたまたおうちで溜まった家事をしたり、お布団の中でまどろんでいる方も…
それぞれの朝、何かをしながら、ラジオに耳を傾けて頂ければうれしいです。
あなたの日曜日の朝が、少しでも、温かく、優しく、爽やかでありますように…
新しい１週間の始まり！どうぞお付き合いください。",82,7,2
ニッポン放送,中山秀征の有楽町で逢いまSHOW,5時30分～6時00分,5:30:00,6:00,0,中山秀征・石川みゆき,hide@1242.com,https://www.1242.com/hide/,"有楽町が演歌・歌謡曲の情報発信基地になります。
フランク永井さんの名曲「有楽町で逢いましょう」から50年あまり。
「有楽町で逢いましょう」にも負けない名曲を世の中に送り出していきたいという思いの元、
演歌・歌謡曲の番組「中山秀征の有楽町で逢いまSHOW」を放送します。
番組は有楽町・ニッポン放送地下2階のイマジンスタジオからライブショーを公開録音します。",83,7,2
ニッポン放送,飯田浩司のOK! Cozy up! Part1,6時00分～6時43分,6:00,6:43,4,飯田浩司、新行市佳、飯田泰之,cozy@1242.com,https://www.1242.com/cozy/,忙しい現代人の朝に最適な情報をお送りするニュース情報番組。多彩なコメンテーターと朝から熱いディスカッション！ニュースに対するあなたのご意見（リスナーズオピニオン）をお待ちしています。メールアドレスは『cozy@1242.com』番組のハッシュタグは『#cozy1242』です。　　　　　　　　　　　　　　　　　　　　　神奈川県横須賀市出身、飯田浩司があなたにCozy up!（＝親しくなる）,1,13,2
ニッポン放送,ひろたみゆ紀のサンデー早起き有楽町 Part3,6時00分～6時04分,6:00,6:04,0,ひろたみゆ紀,sunday@1242.com,https://www.1242.com/radio/sunday/,"日曜日の朝５時から７時まで、 ひろたみゆ紀 がお送りする２時間の生放送。
あなたは日曜の早朝をどう過ごしていらっしゃいますか？
お仕事の方、散歩やジョギングを楽しんでいる方、遊びに出かける方、はたまたおうちで溜まった家事をしたり、お布団の中でまどろんでいる方も…
それぞれの朝、何かをしながら、ラジオに耳を傾けて頂ければうれしいです。
あなたの日曜日の朝が、少しでも、温かく、優しく、爽やかでありますように…
新しい１週間の始まり！どうぞお付き合いください。",84,7,2
ニッポン放送,ひろたみゆ紀のサンデー早起き有楽町 Part4,6時13分～6時25分,6:13,6:25,0,ひろたみゆ紀,sunday@1242.com,https://www.1242.com/radio/sunday/,"日曜日の朝５時から７時まで、 ひろたみゆ紀 がお送りする２時間の生放送。
あなたは日曜の早朝をどう過ごしていらっしゃいますか？
お仕事の方、散歩やジョギングを楽しんでいる方、遊びに出かける方、はたまたおうちで溜まった家事をしたり、お布団の中でまどろんでいる方も…
それぞれの朝、何かをしながら、ラジオに耳を傾けて頂ければうれしいです。
あなたの日曜日の朝が、少しでも、温かく、優しく、爽やかでありますように…
新しい１週間の始まり！どうぞお付き合いください。",86,7,2
ニッポン放送,ウィークエンド・ケアタイム 「ひだまりハウス」 ～うつ病・認知症について語ろう～,6時25分～6時54分,6:25,6:54,0,町亞聖,hidamari@1242.com,https://www.1242.com/hidamari/,"大切な家族や友人のうつ病や認知症のサポートをしたいけど、どのように接してよいか分からないあなたに。
そして、今は大丈夫と思ってはいるけど、突然やってくるうつ病と認知症。
そんな時のために、病気の知識を分かりやすく知ることから始まるラジオで、
あなたの日常生活に役立つ情報をお伝えし、あなたの心にひだまりをあてて、笑顔にかえていく番組です。
番組では、認知症やうつ病に関する情報や番組への感想をお待ちしております。メールはコチラまで。",87,7,2
ニッポン放送,飯田浩司のOK! Cozy up! Part2,6時50分～7時37分,6:50,7:37,4,飯田浩司、新行市佳、飯田泰之,cozy@1242.com,https://www.1242.com/cozy/,忙しい現代人の朝に最適な情報をお送りするニュース情報番組。多彩なコメンテーターと朝から熱いディスカッション！ニュースに対するあなたのご意見（リスナーズオピニオン）をお待ちしています。メールアドレスは『cozy@1242.com』番組のハッシュタグは『#cozy1242』です。　　　　　　　　　　　　　　　　　　　　　神奈川県横須賀市出身、飯田浩司があなたにCozy up!（＝親しくなる）,3,13,2
